['000618', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:32A, line2:30M, line3:, line4:}']
['000611', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:32A DISTRO, line2:32A1PH TO 2X16A1PH, line3:, line4:}']
['000611', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:32A DISTRO, line2:32A1PH TO 2X16A1PH, line3:, line4:}']
['000610', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:32A DISTRO, line2:32A1PH TO 2X16A1PH, line3:, line4:}']
['000608', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTER, line2:16A1PH TO 32A1PH, line3:, line4:}']
['000607', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTER, line2:16A1PH TO 32A1PH, line3:, line4:}']
['000604', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTER, line2:16A1PH TO 63A1PH, line3:, line4:}']
['000605', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTER, line2:16A1PH TO 63A1PH, line3:, line4:}']
['000593', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:DENON, line2:CD PLAYER, line3:, line4:}']
['000594', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:LEXICON, line2:MPX1 FX UNIT, line3:, line4:}']
['000595', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:YAMAHA, line2:SPX90, line3:, line4:}']
['000597', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:DBX, line2:266XL COMP/GATE, line3:, line4:}']
['000596', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:ENSONIQ, line2:DP4 FX UNIT, line3:, line4:}']
['000598', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:DBX, line2:266XL, line3:, line4:}']
['000600', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:DBX, line2:266XL, line3:, line4:}']
